VideoID,AudioID,Link,Search term,Contextual description,Disgust stimulus,Elicitor category,Elicitor category; 1moral,Disgust category,Noise level,Gender,Age,Linguistic group,Confidence in disgust category,Experience valence,Intensity of expression,Main sense,Vocalisation type,Sound structure,Nationality,Notes,file,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
v_if_001,a_if_001,https://www.youtube.com/watch?v=LBDmun_X4BA&list=PLdxpsEsuvjd57hxPXa-vX_sDRp6Lq1OLh&index=1&t=159s,Stinky Fish Challenge,man tries to hold back retching as he is about to try the Smelly fish when he suddenly has a retching outburst (together with his partner in the kitchen),fermented fish in a can,food,food,pathogen disgust,1,male,4,1,3,negative,3,Smell,Nonverbal vocalisation,retching noise,US,,a_if_001,35.375717,0.22669777,26.33117,41.807133,42.30666,15.975491,175.56998,80.50337,112.57879,77.43143,2.5320063,0.38159037,1.4261702,2.6703827,3.4187455,1.9925753,11.482576,5.6095047,4.236003,4.3100414,2.2994936,0.5413373,23.115818,0.25327545,-5.6290345,-1.3588539,-10.004385,-1.4673264,-8.764098,-0.78569555,0.09137351,1.0924811,1.3914559,0.38364452,1.0043387,3.5050178,-3.273445,-5.189575,18.924873,0.76295894,855.0793,0.19420646,1106.5363,0.28714812,-43.38956,-1.9001031,1924.5842,0.1326522,842.8561,0.2510132,-53.15507,-1.3909445,3059.0867,0.08922208,793.9055,0.5024172,-59.596813,-1.190564,-7.099891,-0.7004464,19.933895,0.23320158,0.06193241,0.44008604,-0.0148668,-0.5010289,2.7019932,0.42395273,25.848257,0.13210204,-3.0041864,-2.174026,-17.41822,-0.43199033,-9.982173,-0.7452954,0.9397157,2.4151607,0.0253956,-0.0037896056,1.4077789,3.809524,1.0101011,0.78,0.0,0.19,0.0,-17.007406
v_if_002_01,a_if_002_01,https://www.youtube.com/watch?v=kY-QDBUpzts&list=PLdxpsEsuvjd57hxPXa-vX_sDRp6Lq1OLh&index=4&t=461s,Stinky Fish Challenge,woman still has the Taste of the Smelly fish in her mouth and utters her disgust (outside together with partner),fermented fish in a can,food,food,pathogen disgust,2,female,4,1,3,negative,3,Taste,Nonverbal vocalisation,retching noise,Western europe,,a_if_002_01,49.369408,0.25842136,43.591972,56.25448,58.979164,15.387192,92.89755,0.0,-269.7338,0.0,3.2025216,1.0736927,0.29495808,1.6963373,7.4457984,7.1508403,20.894823,14.287284,32.2531,0.0,4.62195,1.1131551,14.6650915,0.19647603,-15.561391,-1.1649591,-9.222419,-1.847969,-3.0072138,-6.4414077,0.05633838,0.7306748,0.8802605,0.6882486,4.633885,1.0239515,8.710521,2.5137126,13.206435,0.70091933,818.7046,0.27792117,1101.0117,0.13343577,-112.38538,-0.8868327,1808.0709,0.13035096,901.57965,0.30227876,-74.18468,-1.189791,2847.2417,0.09542013,808.8543,0.57753253,-77.60882,-1.0687969,-6.7873044,-1.0619564,19.710716,0.26213583,-0.042578258,-1.0540279,-0.0049712174,-2.277929,7.1220236,0.7293854,13.584537,0.18181378,-26.100653,-0.5590354,-19.409948,-0.6965324,-13.857334,-1.2188822,-17.47701,29.146889,-0.10405533,-0.0017930825,0.8156328,1.6129032,3.508772,0.17999999,0.16,0.053333335,0.028674418,-8.415842
v_if_002_02,a_if_002_02,https://www.youtube.com/watch?v=kY-QDBUpzts&list=PLdxpsEsuvjd57hxPXa-vX_sDRp6Lq1OLh&index=4&t=461s,Stinky Fish Challenge,man is about to try the Smelly fish and utters disgust while thinking about what is going to happen (outside together with partner),fermented fish in a can,food,food,pathogen disgust,1,male,4,1,3,negative,2,Sight,Interjection,oh,Western europe,,a_if_002_02,28.717093,0.20436065,23.107822,27.86732,34.562386,11.454563,604.8141,0.0,-42.645634,78.406364,1.729706,0.48002377,0.7720762,1.9434576,2.2700932,1.4980171,5.516916,7.486411,10.272324,2.0481074,1.8273098,0.66855305,22.899464,0.5529257,-5.698455,-2.317113,-11.430567,-1.0868552,0.20658822,47.93171,0.0688429,0.5534463,1.2636276,0.7177043,0.8060533,3.635208,-1.3227967,-9.318884,9.1862755,1.2440379,467.6076,0.24194781,1132.7308,0.16947874,-94.51437,-0.9039556,1350.6705,0.13042237,909.32245,0.13157089,-81.457794,-1.0010448,2454.2122,0.090772405,625.42334,0.33134815,-87.14391,-0.89235646,-11.9749565,-0.39756027,22.533697,0.32479987,-0.04561444,-0.7105538,-0.024811706,-0.3842572,2.3777823,0.5407129,29.05113,0.29419684,0.25361583,48.108322,-14.435962,-0.6214067,0.12704374,35.605625,-6.504114,15.451284,-0.050372265,-0.010710174,1.3028892,3.3898306,5.6603775,0.099999994,0.09933109,0.04,0.012247449,-18.842522
v_if_003_01,a_if_003_01,https://www.youtube.com/watch?v=z1jMrStOlQY&list=PLdxpsEsuvjd57hxPXa-vX_sDRp6Lq1OLh&index=5&t=1s,Stinky Fish Challenge,girl Smells the fish and begins to retch (youtube channel; sisters try out challenges),fermented fish in a can,food,food,pathogen disgust,1,female,4,1,3,negative,3,Smell,Nonverbal vocalisation,retching noise,US,,a_if_003_01,48.745705,0.14452375,42.625134,54.083874,54.75279,12.127655,128.82657,44.370823,61.316837,42.9199,1.361443,0.8013236,0.3057909,1.0580846,2.5145144,2.2087235,10.654573,4.6369643,12.0840645,4.8338013,0.9079023,1.0316272,6.8316994,1.0796434,-19.358278,-0.5256054,2.2531614,3.377768,-37.050392,-0.5318966,0.040248692,0.6877947,1.5543413,0.36596775,3.9334166,1.2220569,-7.976936,-1.8369678,-0.8463614,-18.954311,983.4047,0.39160982,687.47266,0.59037167,-74.497025,-1.0690383,1996.3383,0.15196171,694.2393,0.40067866,-53.499134,-1.4733492,3092.0286,0.107159235,359.89496,0.7161327,-53.727097,-1.4702215,-6.2161775,-0.97994006,12.819878,0.5971474,0.04846824,0.6964621,-0.033480823,-0.26983774,1.239099,0.73625535,6.951215,1.0957557,-23.178118,-0.36320794,1.0783468,6.8320627,-45.236805,-0.3070729,-3.28911,10.345385,-0.0076248185,-0.011820417,0.07150506,2.5641026,1.369863,0.55,0.0,0.074999996,0.005,-20.923656
v_if_003_02,a_if_003_02,https://www.youtube.com/watch?v=z1jMrStOlQY&list=PLdxpsEsuvjd57hxPXa-vX_sDRp6Lq1OLh&index=5&t=1s,Stinky Fish Challenge,girl Smells the fish and signalizes disgust (both with gesture and vocalisation; youtube channel; sisters try out challenges),fermented fish in a can,food,food,pathogen disgust,2,female,4,1,3,negative,3,Smell,Interjection,üyi,US,,a_if_003_02,35.19631,0.21436223,26.758018,33.899467,44.60514,17.847122,216.96745,93.545654,78.923485,25.398355,1.1094283,0.44691402,0.7269499,0.97220314,1.4941447,0.7671948,8.375289,3.0580528,6.047372,3.770548,0.6867146,0.578668,17.07543,0.57178545,-2.5836084,-4.576829,7.7987227,1.323455,-3.6932538,-1.5899919,0.07683546,1.1573566,1.1197253,0.5025622,4.3637185,0.97242373,6.057057,1.5746593,11.57169,0.8644469,910.3496,0.35769928,1049.8107,0.53218853,-79.28866,-1.0929083,2031.0752,0.15062533,582.40753,0.655747,-72.85751,-1.1228306,3055.1653,0.12819527,857.7267,0.5670214,-71.99144,-1.1475106,-9.188071,-0.4360226,15.025343,0.36960495,0.08377634,0.4967518,-0.0070521627,-1.2001897,0.7977392,0.52106017,11.294179,0.6597383,4.806974,1.53758,12.226847,0.7097001,-5.922224,-0.93105584,-4.058026,14.337774,0.041333083,-0.0020120924,0.60273254,4.878049,2.6666667,0.25,0.21,0.105,0.015,-26.289011
v_if_004_01,a_if_004_01,https://www.youtube.com/watch?v=abZfprASfoo,Stinky Fish Challenge,man Smells the fish and begins to retch (4 people doing this challenge),fermented fish in a can,food,food,pathogen disgust,1,male,4,1,3,negative,3,Smell,Nonverbal vocalisation,retching noise (uagh structure),US,,a_if_004_01,26.953241,0.1732034,24.162502,26.345211,31.210835,7.048332,142.123,124.90821,103.60519,72.55056,2.9731925,0.17747846,2.5747614,2.9071043,3.436011,0.8612497,27.143234,20.736183,6.151732,8.131902,3.4248698,0.38579422,30.49587,0.12565589,-6.579904,-1.5019462,-8.427295,-1.2830389,-34.886604,-0.5393172,0.0637442,1.3526034,1.3018304,0.80050766,1.1309602,3.51539,3.4669342,10.743337,12.219345,0.63639575,759.2548,0.31229317,1163.3899,0.25468475,8.113789,2.7995062,1880.6144,0.18718587,666.59644,0.41513208,0.47931245,42.948906,2922.6477,0.106966734,716.16504,0.55865943,-6.854897,-2.8388152,-13.906686,-0.356711,22.115229,0.24424821,0.09271034,0.32423446,-0.042816352,-0.38342455,3.4226313,0.37763652,30.888006,0.11865699,-6.960625,-1.4684947,-9.962832,-0.9807716,-35.689323,-0.54515606,-12.806134,27.764925,0.10542113,-0.015084419,0.0,5.8823533,1.2658229,0.77,0.0,0.0,0.0,-14.316597
v_if_004_02,a_if_004_02,https://www.youtube.com/watch?v=abZfprASfoo,Stinky Fish Challenge,girl Smells fish and starts to retch (4 people doing this challenge),fermented fish in a can,food,food,pathogen disgust,1,female,3,1,3,negative,3,Smell,Nonverbal vocalisation,retching noise,US,,a_if_004_02,38.519657,0.018925065,37.871193,38.260944,39.22298,1.3517876,22.762072,0.0,-34.17301,30.20614,2.3283012,0.49183834,0.9552062,2.7456636,3.4393802,2.484174,26.170847,0.0,-15.65992,0.0,1.634919,0.6774204,17.459806,0.3650755,-4.5297127,-1.2671119,-5.156635,-1.0972649,-19.880274,-0.5742279,0.0076448433,0.6595532,0.5943743,0.5254856,9.197724,0.4588559,13.473964,0.27702203,29.280188,0.08180005,378.6168,0.13586466,1167.78,0.1471473,-2.2264132,-2.6907961,1443.0271,0.058318723,703.86,0.1318907,-11.931089,-0.32357264,2696.5469,0.089384384,912.5855,0.5009193,-25.83006,-0.15676975,-9.680943,-0.36042133,19.881275,0.23256782,0.093121916,0.34699357,-0.01773578,-0.18485023,1.787911,0.4649424,19.10455,0.37128234,-3.8439984,-1.4726927,-5.127308,-1.1778522,-26.16569,-0.27506557,0.0,0.0,0.0,0.0,0.0,3.125,5.0000005,0.19,0.0,0.0,0.0,-17.012012
v_if_004_03,a_if_004_03,https://www.youtube.com/watch?v=abZfprASfoo,Stinky Fish Challenge,man is about to try the fish and utters disgust (4 people doing this challenge),fermented fish in a can,food,food,pathogen disgust,1,male,4,1,3,negative,2,Sight,Interjection,uagh,US,,a_if_004_03,27.267738,0.0403574,26.385576,26.665058,28.278805,1.8932285,0.0,0.0,-0.38074207,0.0,2.9813406,0.25387555,2.4239752,3.3250124,3.5026703,1.078695,19.480057,15.156033,-4.6081533,12.862344,3.13133,0.49370217,16.274765,0.39527872,-9.770372,-0.92664963,-19.712734,-0.5690963,-5.8718886,-1.0078421,0.025688624,0.0,3.2544572,0.16848907,-4.87246,-0.39869216,-8.709477,-0.6191728,13.675823,0.3051164,978.32764,0.08587571,1307.8381,0.12993935,-132.55067,-0.66756445,1885.4386,0.05083886,1145.8822,0.045333296,-135.40852,-0.62713224,3119.8787,0.073789805,773.5608,0.16490585,-139.74197,-0.56553143,-3.3593454,-0.92230445,18.935776,0.11488722,0.06596532,0.22980501,-0.00936249,-0.5533506,4.75018,0.26499018,23.059105,0.06415079,-3.367798,-0.79133815,-28.795715,-0.13373296,1.4146106,3.1371465,-0.9719045,10.7631855,0.04563827,-0.0031541393,3.1296525,6.896552,4.166667,0.07,0.0,0.07,0.049999997,-18.42147
v_if_005,a_if_005,https://www.youtube.com/watch?v=_12Bxw7Z_rs,Stinky Fish Challenge,man Smells the fish (together in kitchen with partner),fermented fish in a can,food,food,pathogen disgust,1,male,4,1,3,negative,2,Sight,Interjection,oh oh (& retching),US,,a_if_005,34.962646,0.0943602,32.024582,34.675278,38.82333,6.798748,52.93393,36.890144,89.61837,142.39789,2.2485468,0.44461146,1.175675,2.3290145,3.2826254,2.1069503,7.317434,6.2238274,8.630412,2.3217452,2.0172594,0.6602978,20.24054,0.43590277,-8.4971695,-1.1017717,-9.059851,-1.5247021,-53.73345,-0.37373734,0.024477903,1.0522298,1.4195234,0.42832148,4.216944,1.2949165,-9.2891245,-0.64848053,11.120312,0.9637299,908.92035,0.11326148,999.6947,0.09419211,-1.8679322,-21.696423,2230.52,0.10268927,421.52084,0.64138705,-21.67744,-1.6346227,3251.9094,0.04744373,391.14648,0.8227269,-17.421328,-2.1165395,-11.695384,-0.48304608,19.204432,0.35869837,0.10637738,0.27554762,-0.03759442,-0.31693164,2.1828961,0.5940954,21.07816,0.36541793,-7.6008477,-1.2264994,-10.911371,-1.1939093,-56.067482,-0.30920386,3.422912,7.333923,0.104117975,-0.0021478513,1.0947874,1.7857143,1.8867925,0.49499997,0.33499998,0.02,0.0,-16.912918
v_if_006_01,a_if_006_01,https://www.youtube.com/watch?v=tn4F1oJ-9mk&list=PLdxpsEsuvjd57hxPXa-vX_sDRp6Lq1OLh&index=9&t=11s,Try Not To Look Away Challenge Reaction,video to which a couple reacts shows how a large chunk of cerumen (earwax) is extracted out of the ear canal of another person; the vocalisationhappens right before the extraction but when the video already shows that something will be extracted from the canal,he is disgusted from what might come out of the ear canal of the other person,body products,body products,pathogen disgust,1,male,4,1,3,negative,3,Sight,Nonverbal vocalisation,grunting,US,video file BEGINS with vocalisation,a_if_006_01,29.360992,0.064379856,27.73458,30.237076,30.669247,2.9346676,10.520389,5.071869,10.515115,0.0,1.5287038,0.4494039,0.8921838,1.6036618,2.2056289,1.3134451,-1.9405247,3.172635,8.968925,0.0,0.8978321,0.63242525,27.01909,0.17051329,-15.100499,-0.5819877,1.4265118,5.709576,15.336566,0.7083374,0.0344793,0.6086252,1.6260334,0.5328779,0.39357087,7.3506875,7.212862,0.89818126,11.418737,0.47909692,874.21906,0.09712523,1125.4696,0.14047837,-20.091463,-2.4313927,1855.5363,0.065501474,943.996,0.15259051,-24.79648,-1.9353075,2720.0913,0.03500728,674.8829,0.14657387,-26.251217,-1.8228009,-3.2992618,-0.7810145,8.17466,0.447392,0.06118836,0.26408693,-0.004109501,-2.48941,1.0169352,0.5095072,28.299557,0.08415685,-16.798355,-0.48047835,3.2472174,2.165391,17.14698,0.6057521,-6.5081115,14.283003,0.04349601,-0.009685536,0.2112276,0.98039216,2.0618558,0.435,0.415,0.03,0.01,-26.068796
